employee_id,first_name,last_name,gender,date_of_birth,hire_date,department,job_title,job_level,employment_type,education_level,marital_status,location,years_experience,manager_id
EMP0021,John,Brandt,Male,1972-06-25,2022-08-27,Marketing,Senior Marketing Specialist,Senior,Full-Time,Master,Divorced,Jeddah,11,
EMP0022,Brooke,Gonzalez,Male,1977-08-10,2017-04-23,Sales,Sales Manager,Manager,Full-Time,Bachelor,Single,Riyadh,19,
EMP0023,Anita,Ortiz,Female,1977-07-21,2020-06-18,Customer Service,Senior Customer Success Specialist,Senior,Full-Time,Diploma,Divorced,Dubai,8,
EMP0024,Brittany,Wells,Female,1967-05-03,2024-04-22,Finance,Finance Manager,Manager,Full-Time,Bachelor,Single,London,22,
EMP0025,Brian,Hart,Female,1968-09-05,2016-12-18,IT,Senior IT Support Specialist,Senior,Full-Time,Bachelor,Divorced,Cairo,11,
EMP0026,Jonathan,Gutierrez,Male,1992-09-17,2017-03-07,Engineering,Backend Developer,Mid Level,Full-Time,Bachelor,Single,Cairo,4,
EMP0027,Haley,Gardner,Female,1983-03-26,2023-11-29,Finance,Finance Lead,Lead,Full-Time,Bachelor,Divorced,Cairo,18,
EMP0028,Stephanie,Hall,Male,2002-01-01,2023-06-15,Marketing,Junior SEO Specialist,Entry Level,Full-Time,Bachelor,Married,Dubai,2,
EMP0029,Jonathan,Baxter,Male,1991-12-03,2018-04-11,Sales,Senior Account Executive,Senior,Full-Time,Bachelor,Divorced,Dubai,12,
EMP0030,Christopher,Wilson,Female,1997-12-11,2015-12-19,IT,Network Engineer,Mid Level,Full-Time,Bachelor,Single,Cairo,7,
EMP0031,Thomas,Wilson,Male,1999-07-18,2022-09-30,Engineering,Frontend Developer,Mid Level,Full-Time,Diploma,Married,Riyadh,4,
EMP0032,Rebecca,Navarro,Male,1995-10-02,2012-04-23,Sales,Sales Representative,Mid Level,Full-Time,Bachelor,Married,Riyadh,6,
EMP0033,Christine,Mcneil,Female,1969-12-24,2020-05-05,Engineering,Data Engineer,Mid Level,Full-Time,Bachelor,Single,Jeddah,5,
EMP0034,Nathan,Lowe,Male,2002-04-08,2024-10-28,IT,Network Engineer,Mid Level,Full-Time,Bachelor,Divorced,Jeddah,6,
EMP0035,Stephen,Kelly,Female,1991-09-24,2022-08-02,Engineering,Data Engineer,Mid Level,Full-Time,Bachelor,Divorced,Cairo,4,
EMP0036,Gwendolyn,Barajas,Male,1998-01-08,2022-09-13,Sales,Sales Representative,Mid Level,Full-Time,Diploma,Married,Dubai,5,
EMP0037,Mark,Cobb,Male,1967-10-21,2015-09-13,Engineering,Engineering Lead,Lead,Part-Time,Bachelor,Divorced,Dubai,15,
EMP0038,Alexander,Nelson,Male,1990-12-26,2020-07-09,Engineering,Junior Backend Developer,Entry Level,Full-Time,Bachelor,Married,Dubai,0,
EMP0039,Kaitlyn,Shaw,Male,1990-03-30,2018-02-07,Sales,Junior Sales Representative,Entry Level,Full-Time,Master,Divorced,London,1,
EMP0040,Julie,Rogers,Female,1992-03-12,2012-09-27,HR,Recruiter,Mid Level,Full-Time,Bachelor,Married,Jeddah,6,
EMP0041,Zachary,Long,Male,1979-08-13,2025-02-21,Sales,Sales Manager,Manager,Full-Time,Bachelor,Divorced,Dubai,21,
EMP0042,Nancy,Murray,Female,1980-05-11,2025-10-29,IT,IT Manager,Manager,Full-Time,Bachelor,Divorced,London,21,
EMP0043,Jason,James,Male,1983-12-07,2016-12-27,Finance,Finance Lead,Lead,Full-Time,Diploma,Divorced,Dubai,16,
EMP0044,Michele,Padilla,Male,1970-03-25,2020-07-01,IT,IT Team Lead,Lead,Part-Time,Bachelor,Divorced,Cairo,14,
EMP0045,Christian,Hawkins,Male,1995-10-20,2023-06-11,Sales,Account Executive,Mid Level,Full-Time,Master,Divorced,Jeddah,4,
EMP0046,Danielle,King,Male,1995-11-19,2022-01-29,HR,Junior HR Specialist,Entry Level,Full-Time,Bachelor,Divorced,London,2,
EMP0047,Melissa,Johnson,Male,1967-09-16,2022-09-11,Engineering,Junior Data Engineer,Entry Level,Full-Time,Bachelor,Single,Cairo,2,
EMP0048,Thomas,Henson,Male,2000-04-12,2022-09-01,IT,IT Support Specialist,Mid Level,Full-Time,Bachelor,Single,Dubai,3,
EMP0049,Crystal,Torres,Female,1983-10-13,2015-04-18,Legal,Senior Legal Advisor,Senior,Full-Time,Master,Single,Riyadh,10,
EMP0050,Jaclyn,Wilson,Male,1977-02-06,2017-05-17,Engineering,Senior Frontend Developer,Senior,Full-Time,Bachelor,Single,Cairo,11,
EMP0051,Nicole,Peterson,Male,1988-10-19,2018-08-29,Sales,Sales Team Lead,Lead,Contract,Bachelor,Single,Jeddah,13,
EMP0052,Megan,Wilson,Female,1968-02-14,2012-12-04,Operations,Operations Lead,Lead,Full-Time,Bachelor,Married,London,16,
EMP0053,Gabriella,Bird,Male,1975-04-12,2024-05-01,Finance,Finance Manager,Manager,Full-Time,Bachelor,Single,Riyadh,19,
EMP0054,Michelle,Hall,Male,1995-10-02,2023-04-18,Engineering,Frontend Developer,Mid Level,Full-Time,Bachelor,Married,Dubai,7,
EMP0055,Frank,Brown,Female,1997-08-09,2025-03-16,HR,Junior HR Specialist,Entry Level,Full-Time,PhD,Single,London,0,
EMP0056,John,Johnson,Male,1989-01-01,2017-05-02,Finance,Junior Accountant,Entry Level,Full-Time,Bachelor,Married,Dubai,2,
EMP0057,Francisco,Moore,Male,1979-01-23,2017-12-06,Operations,Operations Lead,Lead,Full-Time,Bachelor,Single,Riyadh,16,
EMP0058,David,Atkinson,Male,1977-12-26,2024-06-22,Engineering,Senior Frontend Developer,Senior,Full-Time,Bachelor,Divorced,Jeddah,9,
EMP0059,Sandra,Bender,Male,1993-08-28,2021-10-03,Engineering,Senior Backend Developer,Senior,Part-Time,Bachelor,Single,Dubai,8,
EMP0060,Kathryn,Hicks,Male,1979-11-12,2013-12-28,Finance,Finance Lead,Lead,Full-Time,Bachelor,Divorced,Jeddah,14,
EMP0061,Joseph,Mills,Male,1972-10-23,2021-03-19,Legal,Legal Advisor,Mid Level,Full-Time,Bachelor,Married,Jeddah,4,
EMP0062,Jill,Martin,Female,1982-10-24,2012-04-08,Sales,Sales Team Lead,Lead,Full-Time,Bachelor,Married,Riyadh,14,
EMP0063,Laura,Nichols,Male,1974-02-26,2012-10-07,Sales,Senior Sales Representative,Senior,Full-Time,Bachelor,Divorced,Riyadh,12,
EMP0064,Rodney,Hicks,Female,1982-10-05,2025-08-01,HR,HR Lead,Lead,Contract,Master,Single,London,13,
EMP0065,Dennis,Shaffer,Male,1988-08-17,2022-09-01,Sales,Account Executive,Mid Level,Full-Time,Bachelor,Divorced,Riyadh,5,
EMP0066,Mario,Bowers,Male,2000-08-23,2016-02-22,Customer Service,Junior Customer Support,Entry Level,Full-Time,Bachelor,Single,Jeddah,0,
EMP0067,Lisa,Brock,Female,2004-01-23,2012-06-13,Customer Service,Customer Support Specialist,Mid Level,Full-Time,Bachelor,Single,London,4,
EMP0068,Patrick,Jimenez,Female,1987-05-04,2019-07-16,Operations,Operations Lead,Lead,Full-Time,Master,Married,Dubai,16,
EMP0069,Michael,Thomas,Male,2002-08-12,2022-11-25,Administration,Administrative Assistant,Entry Level,Part-Time,Bachelor,Married,London,0,
EMP0070,Ryan,Underwood,Male,1999-10-15,2014-07-15,Marketing,SEO Specialist,Mid Level,Full-Time,Diploma,Divorced,Dubai,4,
EMP0071,Ian,Horn,Male,1984-08-21,2018-11-18,IT,Senior Network Engineer,Senior,Part-Time,Bachelor,Married,Cairo,8,
EMP0072,Regina,Castro,Male,1969-01-01,2018-01-04,Administration,Administration Manager,Manager,Full-Time,Master,Divorced,Riyadh,23,
EMP0073,Maria,Bennett,Male,1988-09-17,2018-10-23,Sales,Junior Sales Representative,Entry Level,Full-Time,Bachelor,Single,Riyadh,1,
EMP0074,Brittney,Myers,Male,1971-11-23,2015-06-03,Finance,Finance Lead,Lead,Full-Time,Bachelor,Divorced,Dubai,15,
EMP0075,Michael,Lin,Female,1986-01-19,2013-08-19,Administration,Administrative Assistant,Entry Level,Full-Time,Diploma,Single,Riyadh,1,
EMP0076,Trevor,Donovan,Female,1996-07-30,2018-03-25,Customer Service,Junior Customer Support,Entry Level,Full-Time,Bachelor,Single,Cairo,1,
EMP0077,Kelly,Martin,Male,1999-04-18,2026-01-11,IT,System Administrator,Mid Level,Full-Time,Bachelor,Single,Cairo,5,
EMP0078,Michael,Manning,Male,1990-02-08,2011-11-18,Engineering,Junior Software Engineer,Entry Level,Full-Time,Bachelor,Single,Riyadh,0,
EMP0079,Crystal,Crosby,Female,1977-05-22,2013-10-31,Marketing,Marketing Lead,Lead,Full-Time,Bachelor,Single,Cairo,16,
EMP0080,Stephen,Castillo,Male,1972-04-16,2016-08-01,Engineering,Software Engineer,Mid Level,Full-Time,Bachelor,Divorced,London,4,
EMP0081,Anthony,Kelley,Male,1975-08-10,2024-10-20,Engineering,Engineering Lead,Lead,Full-Time,Master,Married,Cairo,13,
EMP0082,Keith,Silva,Male,1986-01-17,2018-08-18,IT,IT Manager,Manager,Contract,Bachelor,Married,Riyadh,22,
EMP0083,Earl,White,Female,2000-03-11,2026-03-12,Engineering,Senior Frontend Developer,Senior,Full-Time,Bachelor,Married,Jeddah,8,
EMP0084,Richard,Lam,Male,1987-02-23,2025-05-24,Engineering,Junior Data Engineer,Entry Level,Full-Time,Bachelor,Married,Riyadh,0,
EMP0085,Susan,Rodriguez,Female,1996-01-21,2014-12-04,Customer Service,Senior Customer Success Specialist,Senior,Full-Time,Bachelor,Married,Jeddah,8,
EMP0086,Charles,Clements,Female,1971-07-07,2023-09-29,Engineering,Senior Backend Developer,Senior,Full-Time,Master,Divorced,London,9,
EMP0087,Jonathan,Krueger,Female,1975-12-20,2017-05-22,Administration,Administration Lead,Lead,Full-Time,Bachelor,Married,Riyadh,16,
EMP0088,Courtney,Oneal,Male,1978-02-15,2017-04-27,HR,HR Manager,Manager,Full-Time,Bachelor,Married,Jeddah,25,
EMP0089,Kevin,Mcdonald,Male,1977-02-14,2014-06-19,Customer Service,Customer Support Lead,Lead,Full-Time,Bachelor,Married,Dubai,13,
EMP0090,Ryan,Christensen,Male,1976-03-19,2015-03-20,Customer Service,Senior Customer Success Specialist,Senior,Full-Time,Bachelor,Divorced,London,12,
EMP0091,Kaitlyn,Estrada,Female,1974-02-27,2022-07-03,Engineering,Senior Software Engineer,Senior,Full-Time,Bachelor,Divorced,London,11,
EMP0092,Emily,White,Male,1983-04-28,2025-02-02,Customer Service,Customer Success Specialist,Mid Level,Contract,Bachelor,Single,Jeddah,5,
EMP0093,Scott,York,Female,2000-02-26,2025-10-05,Engineering,Junior Frontend Developer,Entry Level,Full-Time,Master,Single,Cairo,0,
EMP0094,Don,Avila,Male,1999-01-30,2020-10-24,IT,Junior Network Engineer,Entry Level,Full-Time,Bachelor,Single,Cairo,1,
EMP0095,Kelly,Perez,Female,1983-11-08,2018-06-01,IT,IT Support Specialist,Mid Level,Full-Time,Bachelor,Married,London,3,
EMP0096,Brooke,Murillo,Male,1995-05-27,2015-07-06,Sales,Sales Representative,Mid Level,Full-Time,PhD,Single,Jeddah,7,
EMP0097,Matthew,Anderson,Female,1989-04-12,2018-11-17,Engineering,Backend Developer,Mid Level,Full-Time,Diploma,Married,Dubai,4,
EMP0098,Robert,Brown,Female,1981-01-26,2018-04-19,HR,Senior HR Specialist,Senior,Full-Time,Diploma,Married,Jeddah,12,
EMP0099,Sarah,Robinson,Male,2000-07-31,2022-03-23,Finance,Financial Analyst,Mid Level,Full-Time,Master,Single,London,4,
EMP0100,Tracy,Singleton,Male,1993-12-06,2023-10-18,Sales,Sales Representative,Mid Level,Full-Time,Bachelor,Divorced,London,5,
EMP0101,Michael,Brooks,Male,1971-12-21,2015-02-09,Sales,Sales Manager,Manager,Full-Time,PhD,Married,Riyadh,20,
EMP0102,Karen,Moon,Female,1973-12-01,2021-12-22,Marketing,Senior Marketing Specialist,Senior,Full-Time,Diploma,Married,Dubai,8,
EMP0103,Lisa,Gomez,Male,1988-05-08,2018-01-06,Sales,Account Executive,Mid Level,Full-Time,Bachelor,Married,Jeddah,6,
EMP0104,Amanda,Harper,Female,1978-01-31,2019-02-26,HR,Senior HR Specialist,Senior,Full-Time,Bachelor,Divorced,London,8,
EMP0105,Carol,Tucker,Male,1975-03-24,2015-12-04,Engineering,Senior Backend Developer,Senior,Full-Time,Bachelor,Divorced,Jeddah,9,
EMP0106,Shannon,Bennett,Male,1983-01-09,2017-04-23,IT,IT Team Lead,Lead,Full-Time,Bachelor,Single,Riyadh,13,
EMP0107,Jocelyn,Walters,Male,2002-05-08,2012-10-03,Customer Service,Customer Support Specialist,Mid Level,Full-Time,Diploma,Single,Cairo,3,
EMP0108,Kayla,Jackson,Male,1990-08-13,2012-09-02,Customer Service,Customer Success Specialist,Mid Level,Full-Time,Diploma,Single,Cairo,3,
EMP0109,Christopher,Petty,Male,2000-11-03,2019-08-15,Sales,Account Executive,Mid Level,Full-Time,Bachelor,Divorced,London,4,
EMP0110,Christopher,Little,Male,1981-01-26,2017-03-29,Engineering,Engineering Manager,Manager,Full-Time,Master,Single,Dubai,21,
EMP0111,Julie,Thompson,Female,1970-04-09,2015-07-22,Sales,Sales Team Lead,Lead,Full-Time,Bachelor,Single,Cairo,16,
EMP0112,Thomas,Thomas,Male,2001-02-10,2011-08-17,Legal,Junior Legal Advisor,Entry Level,Full-Time,Bachelor,Divorced,Riyadh,2,
EMP0113,Joseph,Wood,Male,1971-02-14,2026-04-05,Sales,Senior Account Executive,Senior,Contract,Bachelor,Married,Dubai,9,
EMP0114,Sarah,Bishop,Male,2000-08-14,2019-05-08,IT,System Administrator,Mid Level,Full-Time,Master,Married,Cairo,7,
EMP0115,Rachel,Coleman,Male,1974-10-05,2023-04-07,Finance,Finance Lead,Lead,Full-Time,Bachelor,Divorced,Cairo,17,
EMP0116,Maria,Thompson,Male,1981-10-11,2017-11-04,IT,System Administrator,Mid Level,Full-Time,Bachelor,Single,Riyadh,3,
EMP0117,Michelle,Yoder,Female,1978-08-30,2026-06-25,Operations,Operations Specialist,Mid Level,Full-Time,Bachelor,Divorced,Jeddah,7,
EMP0118,John,Frye,Female,1973-04-05,2014-08-28,Marketing,SEO Specialist,Mid Level,Full-Time,Bachelor,Single,Dubai,7,
EMP0119,Matthew,Valentine,Female,1969-08-22,2023-02-01,IT,IT Manager,Manager,Full-Time,Bachelor,Single,Cairo,25,
EMP0120,Destiny,Lynn,Male,1994-02-03,2012-03-21,Sales,Senior Sales Representative,Senior,Full-Time,Bachelor,Single,London,9,
EMP0121,Zachary,Riley,Male,1993-07-04,2013-03-17,Customer Service,Customer Support Specialist,Mid Level,Full-Time,Bachelor,Single,London,5,
EMP0122,Daniel,Shaw,Male,2003-05-25,2014-12-20,IT,System Administrator,Mid Level,Full-Time,Master,Married,Dubai,5,
EMP0123,Margaret,Johnson,Male,1983-07-14,2019-06-09,HR,HR Lead,Lead,Full-Time,Bachelor,Single,London,15,
EMP0124,Clinton,Murillo,Male,1972-07-01,2021-08-28,Engineering,Senior Software Engineer,Senior,Full-Time,Master,Divorced,London,9,
EMP0125,John,Smith,Male,2000-06-29,2025-06-12,Sales,Account Executive,Mid Level,Full-Time,Bachelor,Divorced,Jeddah,3,
EMP0126,Sherry,Estrada,Male,1982-07-21,2022-09-21,Sales,Senior Account Executive,Senior,Full-Time,Bachelor,Single,London,10,
EMP0127,Michelle,Sandoval,Female,1974-08-28,2023-10-18,Sales,Junior Sales Representative,Entry Level,Full-Time,PhD,Married,London,1,
EMP0128,Rhonda,Rodgers,Male,1977-06-15,2018-11-17,Finance,Finance Manager,Manager,Full-Time,Bachelor,Single,Jeddah,23,
EMP0129,Alyssa,Palmer,Male,1997-05-04,2013-06-11,Sales,Account Executive,Mid Level,Full-Time,Diploma,Married,Jeddah,3,
EMP0130,Michael,Hughes,Female,1978-08-02,2020-10-08,IT,IT Manager,Manager,Full-Time,Master,Single,Dubai,20,
EMP0131,Travis,Cooper,Male,1985-03-16,2021-11-17,Engineering,Software Engineer,Mid Level,Full-Time,PhD,Married,Dubai,7,
EMP0132,Nathan,Jones,Female,1995-06-15,2012-11-29,Administration,Senior Office Administrator,Senior,Full-Time,Bachelor,Single,Jeddah,10,
EMP0133,Eduardo,Doyle,Female,1988-12-07,2025-05-05,Sales,Junior Sales Representative,Entry Level,Contract,Bachelor,Single,Dubai,1,
EMP0134,Susan,Gonzalez,Male,1975-06-15,2021-10-25,Sales,Senior Sales Representative,Senior,Full-Time,Bachelor,Single,Jeddah,11,
EMP0135,Chelsea,Hunter,Female,1972-06-15,2019-05-25,Sales,Sales Manager,Manager,Full-Time,Bachelor,Married,Dubai,22,
EMP0136,Kari,Navarro,Male,1999-02-10,2016-09-21,Engineering,Junior Backend Developer,Entry Level,Full-Time,Master,Divorced,Dubai,1,
EMP0137,Lisa,Case,Female,1971-06-09,2022-07-30,Engineering,Senior Data Engineer,Senior,Full-Time,Bachelor,Divorced,Riyadh,11,
EMP0138,Heather,Daniels,Male,1999-09-15,2014-02-09,IT,Senior Network Engineer,Senior,Full-Time,Bachelor,Divorced,Dubai,8,
EMP0139,Seth,Contreras,Female,2002-06-22,2018-06-29,Finance,Junior Accountant,Entry Level,Full-Time,Bachelor,Divorced,Riyadh,2,
EMP0140,Victor,Jensen,Male,1997-03-28,2023-08-01,IT,Junior Network Engineer,Entry Level,Part-Time,Bachelor,Single,Dubai,2,
EMP0141,Andrea,Jackson,Male,1979-08-18,2018-10-17,Engineering,Senior Data Engineer,Senior,Full-Time,Bachelor,Married,Riyadh,10,
EMP0142,Patricia,Fernandez,Male,1972-12-18,2022-02-17,Engineering,Senior Frontend Developer,Senior,Full-Time,Bachelor,Single,London,12,
EMP0143,Kevin,Doyle,Female,1974-11-26,2022-12-30,Legal,Senior Legal Advisor,Senior,Part-Time,Master,Divorced,Dubai,9,
EMP0144,Richard,Porter,Female,1973-05-15,2020-09-06,Marketing,Junior SEO Specialist,Entry Level,Full-Time,Master,Divorced,Jeddah,2,
EMP0145,Kim,Butler,Female,1985-03-07,2022-10-07,Customer Service,Customer Service Manager,Manager,Full-Time,Bachelor,Married,London,22,
EMP0146,Patricia,Vasquez,Male,1976-08-08,2020-10-09,Marketing,SEO Specialist,Mid Level,Full-Time,Bachelor,Divorced,Jeddah,5,
EMP0147,Michael,Dougherty,Female,1969-03-25,2026-04-23,Sales,Sales Team Lead,Lead,Full-Time,Master,Single,Dubai,17,
EMP0148,Sandra,Hall,Male,1982-06-12,2014-06-26,Customer Service,Customer Service Manager,Manager,Full-Time,Bachelor,Divorced,Jeddah,19,
EMP0149,Shelley,Jones,Female,1971-02-20,2021-12-29,Engineering,Junior Backend Developer,Entry Level,Full-Time,Bachelor,Divorced,Riyadh,0,
EMP0150,Natasha,Hughes,Male,1991-08-09,2024-04-15,Customer Service,Senior Customer Support Specialist,Senior,Full-Time,Bachelor,Divorced,Cairo,9,
EMP0151,Nicholas,Simon,Male,1967-03-17,2017-05-31,Sales,Sales Manager,Manager,Full-Time,Bachelor,Single,Cairo,24,
EMP0152,James,Gomez,Female,1991-03-19,2017-10-06,Sales,Senior Sales Representative,Senior,Full-Time,Bachelor,Married,Cairo,11,
EMP0153,Kaitlin,Hernandez,Male,1972-04-29,2017-08-08,HR,HR Manager,Manager,Full-Time,PhD,Divorced,Jeddah,24,
EMP0154,Lauren,Rodriguez,Female,1984-07-01,2018-03-04,Operations,Operations Specialist,Mid Level,Full-Time,Bachelor,Married,Jeddah,7,
EMP0155,Maria,Johns,Male,1981-06-19,2020-01-21,Administration,Office Administrator,Mid Level,Part-Time,Master,Married,Jeddah,6,
EMP0156,Helen,Evans,Male,1993-12-22,2015-05-25,Finance,Senior Financial Analyst,Senior,Full-Time,Bachelor,Married,Cairo,10,
EMP0157,Lauren,Shaw,Male,1995-01-08,2023-04-27,IT,Junior Network Engineer,Entry Level,Full-Time,Bachelor,Divorced,London,0,
EMP0158,William,Gray,Female,1967-04-29,2015-08-24,HR,Junior HR Specialist,Entry Level,Full-Time,Bachelor,Single,Cairo,0,
EMP0159,Phillip,Bell,Male,1990-04-03,2026-04-12,Engineering,Tech Lead,Lead,Full-Time,Bachelor,Married,Cairo,13,
EMP0160,Nathan,Shepherd,Male,1975-07-29,2024-04-07,Engineering,Data Engineer,Mid Level,Part-Time,Bachelor,Divorced,Jeddah,7,
EMP0161,Lindsey,Daniels,Female,1968-12-03,2018-08-08,Marketing,Marketing Lead,Lead,Contract,Bachelor,Single,Jeddah,13,
EMP0162,Brett,Stephens,Male,1973-01-10,2015-01-15,IT,System Administrator,Mid Level,Full-Time,Bachelor,Divorced,London,4,
EMP0163,Lori,Rocha,Male,1970-10-09,2024-04-18,Operations,Operations Manager,Manager,Part-Time,Diploma,Divorced,Jeddah,22,
EMP0164,Donna,Strickland,Male,1987-05-25,2026-06-30,Legal,Legal Advisor,Mid Level,Part-Time,Master,Divorced,Riyadh,5,
EMP0165,Tim,Knight,Female,1990-12-18,2020-12-06,Marketing,Marketing Lead,Lead,Full-Time,Bachelor,Married,Riyadh,13,
EMP0166,James,Johnson,Female,2000-04-09,2011-10-07,Engineering,Junior Software Engineer,Entry Level,Full-Time,PhD,Married,London,0,
EMP0167,Patrick,Higgins,Male,1968-12-10,2012-04-09,IT,IT Team Lead,Lead,Full-Time,Bachelor,Married,Jeddah,16,
EMP0168,Jennifer,Joseph,Male,1966-09-04,2025-02-14,Engineering,Senior Frontend Developer,Senior,Full-Time,Diploma,Single,Dubai,11,
EMP0169,Oscar,Wilson,Female,1999-07-28,2013-07-31,IT,System Administrator,Mid Level,Contract,Bachelor,Single,London,7,
EMP0170,Jason,Kelly,Male,1977-04-11,2019-07-27,Customer Service,Junior Customer Support,Entry Level,Full-Time,Bachelor,Single,Cairo,1,
EMP0171,Jessica,Mathews,Female,1995-09-25,2023-12-16,Customer Service,Customer Success Specialist,Mid Level,Full-Time,PhD,Single,Jeddah,4,
EMP0172,Erica,Wilson,Female,1967-09-10,2026-06-24,Customer Service,Customer Success Specialist,Mid Level,Full-Time,Bachelor,Married,London,4,
EMP0173,Erika,Montgomery,Male,1999-03-12,2023-10-18,Finance,Accountant,Mid Level,Full-Time,Bachelor,Divorced,Dubai,4,
EMP0174,Laura,Watts,Male,1989-01-07,2011-10-02,IT,IT Support Specialist,Mid Level,Full-Time,Bachelor,Single,Riyadh,5,
EMP0175,Erik,Herrera,Male,2000-06-25,2021-09-28,IT,IT Support Specialist,Mid Level,Full-Time,Bachelor,Divorced,Riyadh,3,
EMP0176,Michael,Williamson,Male,1990-02-24,2017-06-30,Engineering,Software Engineer,Mid Level,Full-Time,Master,Single,London,4,
EMP0177,Travis,Murphy,Male,1993-02-24,2015-08-26,Engineering,Tech Lead,Lead,Full-Time,Master,Single,Cairo,13,
EMP0178,Joshua,Taylor,Female,1989-10-23,2013-02-16,Engineering,Junior Frontend Developer,Entry Level,Full-Time,Bachelor,Single,Riyadh,0,
EMP0179,Julie,Holt,Male,1979-06-05,2026-06-26,Engineering,Engineering Manager,Manager,Full-Time,Master,Married,Dubai,22,
EMP0180,Susan,Bryant,Female,1992-04-14,2017-08-30,Engineering,Engineering Lead,Lead,Full-Time,Master,Married,Cairo,13,
EMP0181,Erik,Jackson,Male,2003-08-11,2022-10-25,Marketing,Marketing Specialist,Mid Level,Full-Time,Bachelor,Married,Jeddah,3,
EMP0182,John,Randall,Female,1968-01-05,2014-10-18,Customer Service,Senior Customer Success Specialist,Senior,Full-Time,Bachelor,Single,London,12,
EMP0183,Christopher,Sandoval,Female,1984-11-23,2021-03-24,HR,HR Specialist,Mid Level,Part-Time,Bachelor,Married,Riyadh,3,
EMP0184,Tanya,Butler,Female,1998-05-26,2022-04-10,IT,IT Support Specialist,Mid Level,Full-Time,Master,Single,London,7,
EMP0185,Amanda,Stuart,Male,1994-04-30,2013-01-12,Finance,Junior Accountant,Entry Level,Full-Time,Diploma,Divorced,Dubai,2,
EMP0186,Julia,Murray,Male,1979-09-26,2012-02-02,Sales,Sales Team Lead,Lead,Full-Time,Master,Divorced,Jeddah,17,
EMP0187,Michael,Ford,Female,1996-04-01,2015-05-04,Engineering,Backend Developer,Mid Level,Full-Time,Bachelor,Married,Jeddah,3,
EMP0188,Patrick,Gonzales,Female,2002-12-04,2026-07-12,Engineering,Junior Frontend Developer,Entry Level,Full-Time,Bachelor,Divorced,Riyadh,0,
EMP0189,Nicholas,Ortiz,Female,1979-07-04,2018-10-27,Engineering,Tech Lead,Lead,Full-Time,Diploma,Married,London,18,
EMP0190,Sheila,Ortiz,Male,1998-12-24,2012-12-14,Engineering,Senior Data Engineer,Senior,Full-Time,Bachelor,Married,London,8,
